# k[h/Mpc]   P_delta,delta   P_delta,theta   P_theta,theta 
0.0010040902976760026   4025.504079827694    4025.4217915115673   4025.3400875822877
0.0010086029799686064   4042.2665173756272    4042.183142611179   4042.1003624916316
0.0010131359436059471   4059.094680501418    4059.0102050367746   4058.926334653395
0.0010176892797384574   4075.9887847870164    4075.9031941851417   4075.8182192822674
0.0010222630799262276   4092.9490459325284    4092.8623255688753   4092.7762317064366
0.001026857436140847   4109.975680026335    4109.887815086405   4109.800587637574
0.0010314724407672505   4127.06890354225    4126.979879019176   4126.891503167994
0.0010361081866055806   4144.228933347139    4144.13873403924   4144.049194778188
0.0010407647668730516   4161.455986681431    4161.364597189684   4161.273879317299
0.0010454422752058227   4178.750281180635    4178.6576859062025   4178.5657740245115
0.0010501408056608837   4196.112034850267    4196.0182179918975   4195.925096503991
0.0010548604527179414   4213.541466080635    4213.446411632042   4213.352064739503
0.0010596013112813257   4231.03879364372    4230.942485391021   4230.846897091394
0.001064363476681894   4248.604236666957    4248.506658185998   4248.409812270178
0.0010691470446789497   4266.2380146808855    4266.139149334521   4266.04102938413
0.0010739521114621659   4283.940347567641    4283.840178503066   4283.740767887788
0.0010787787736535226   4301.7114555756925    4301.6099657216355   4301.5092475965075
0.0010836271283092452   4319.551559343248    4319.4487314071785   4319.3466887098875
0.0010884972729217613   4337.460879855885    4337.3566963212525   4337.253311769397
0.0010933893054216575   4355.439638456842    4355.334081580147   4355.229337668361
0.001098303324179651   4373.4880568790695    4373.381108686971   4373.274987684141
0.0011032394280085646   4391.606357199229    4391.497999485643   4391.390483432101
0.0011081977161653178   4409.794761827787    4409.684976150889   4409.576046855431
0.001113178288352917   4428.053493576883    4427.942261256103   4427.831900293027
0.0011181812447224671   4446.382775117674    4446.270077230657   4446.158265936897
0.0011232066858751803   4464.782826932637    4464.668644312314   4464.5553637844705
0.0011282547128644012   4483.25386897387    4483.138182205165   4483.023413296394
0.0011333254271976385   4501.796121502412    4501.678910919234   4501.562634236233
0.0011384189308386067   4520.4098050418825    4520.291050723935   4520.1732466238755
0.001143535326209273   4539.09514037472    4538.974822144249   4538.855470731577
0.0011486747161919225   4557.852348579427    4557.730445997847   4557.609527121019
0.0011538372041312232   4576.681651019375    4576.558143384013   4576.435636632323
0.0011590228938363047   4595.583269312038    4595.458135652862   4595.334020353193
0.0011642318895828461   4614.557425322608    4614.43064439879   4614.304899612301
0.0011694642961151734   4633.604341192615    4633.475891488927   4633.348496007577
0.0011747202186483622   4652.724239350297    4652.5940990738   4652.465031417024
0.0011799997628703588   4671.91734245936    4671.785489535872   4671.654727947226
0.0011853030349441025   4691.183873433327    4691.050285503832   4690.917807947471
0.0011906301415096595   4710.524055401948    4710.388709818895   4710.254493975914
0.0011959811896863695   4729.938111823059    4729.80098564669   4729.66500891162
0.0012013562870749988   4749.4262663578165    4749.287336352568   4749.149575829852
0.0012067555417599007   4768.988742908653    4768.847985539483   4768.708418039798
0.0012121790623111956   4788.625765590341    4788.483157018759   4788.341759055378
0.001217626957786949   4808.337558774255    4808.193074854424   4808.049822639124
0.0012230993377353662   4828.1243470957115    4827.977963370688   4827.832832810253
0.0012285963121969948   4847.9863553907135    4847.8380470884995   4847.691013780877
0.0012341179917069386   4867.92380833925    4867.773550368856   4867.624589599334
0.0012396644872970763   4887.936928001226    4887.784694948623   4887.633781685861
0.0012452359104982997   4908.025935402578    4907.871701526558   4907.718810418464
0.0012508323733427535   4928.1910517207525    4928.03479094892   4927.879896318905
0.001256453988366088   4948.432498244801    4948.274184169448   4948.117260012326
0.001262100868609722   4968.75049639675    4968.590102270602   4968.431122248448
0.001267773127623118   4989.145267693169    4988.9827664251225   4988.821703863127
0.0012734708794660606   5009.617033800103    5009.452397950534   5009.289225832567
0.0012791942387109555   5030.166016553466    5029.999218330145   5029.833909294531
0.0012849433204451311   5050.792437864796    5050.623449118489   5050.455975453899
0.0012907182402731518   5071.496519756976    5071.325311976843   5071.155645617841
0.0012965191143191443   5092.278484355061    5092.1050286642785   5091.93314118692
0.0013023460592291327   5113.138553810934    5112.962820961721   5112.788683578853
